"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" 51 Street and 32 Avenue SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/19 04:27:58 PM","2025/09/19 05:41:22 PM","SW","-114.16096074904","51.02543656008","1","2025-09-19T16:27:5851.02543656008146-114.16096074903503","POINT (-114.16096074903503 51.02543656008146)"
" Charleswood Drive and Cherokee Drive NW ","There is an incident involving a pedestrian- EMS on site.","2025/09/19 07:57:28 AM","2025/09/19 08:17:19 AM","NW","-114.12181911764","51.08571316017","1","2025-09-19T07:57:2851.0857131601675-114.12181911764277","POINT (-114.12181911764277 51.0857131601675)"
" 4 Avenue and 68 Street NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/18 05:13:44 PM","2025/09/18 05:58:30 PM","NE","-113.93503593583","51.05576688512","1","2025-09-18T17:13:4451.05576688512121-113.93503593583013","POINT (-113.93503593583013 51.05576688512121)"
" 17 Avenue and 10 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/18 04:23:16 PM","2025/09/18 04:25:24 PM","SW","-114.08703931045","51.03781307213","1","2025-09-18T16:23:1651.03781307213497-114.08703931044585","POINT (-114.08703931044585 51.03781307213497)"
" Nose Hill Drive and John Laurie Boulevard NW ","There is an incident involving a pedestrian- EMS on site.","2025/09/16 06:23:19 AM","2025/09/16 06:55:34 AM","NW","-114.19489513405","51.1274203655","1","2025-09-16T06:23:1951.127420365497365-114.19489513405182","POINT (-114.19489513405182 51.127420365497365)"
" Sarcee Road and Richardson Wy SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/15 09:57:37 PM","2025/09/15 11:17:18 PM","SW","-114.13882151741","51.01251967473","1","2025-09-15T21:57:3751.01251967472634-114.13882151740522","POINT (-114.13882151740522 51.01251967472634)"
" 47 Street and Bowness Road NW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/15 04:45:31 PM","2025/09/15 05:21:24 PM","NW","-114.1621374623","51.07383862559","1","2025-09-15T16:45:3151.07383862558602-114.16213746229731","POINT (-114.16213746229731 51.07383862558602)"
" Falconridge Boulevard and 64 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the WB and EB left lane","2025/09/15 01:52:48 PM","2025/09/15 02:19:23 PM","NE","-113.94734023478","51.11068938193","1","2025-09-15T13:52:4851.110689381929674-113.94734023477541","POINT (-113.94734023477541 51.110689381929674)"
" Eastbound Rundlehorn Drive and 52 Street NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/15 05:33:22 AM","2025/09/15 06:45:24 AM","NE","-113.95850399876","51.07167451687","1","2025-09-15T05:33:2251.07167451687124-113.95850399876483","POINT (-113.95850399876483 51.07167451687124)"
" Southbound Elbow Drive between 69 Avenue and 70 Avenue SW ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2025/09/14 02:46:06 PM","2025/09/14 03:04:20 PM","SW","-114.08338976364","50.99096278426","1","2025-09-14T14:46:0650.99096278425596-114.08338976363952","POINT (-114.08338976363952 50.99096278425596)"
" 78 Avenue west of Macleod Trail SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/13 06:12:31 PM","2025/09/13 07:05:14 PM","SW","-114.07322833757","50.98321784934","1","2025-09-13T18:12:3150.98321784934203-114.07322833757166","POINT (-114.07322833757166 50.98321784934203)"
" Edmonton Trail and 25 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/13 05:35:02 PM","2025/09/13 06:36:20 PM","NE","-114.05598595338","51.07515827414","1","2025-09-13T17:35:0251.07515827414014-114.05598595337578","POINT (-114.05598595337578 51.07515827414014)"
" Bowness Road and 65 Street NW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/13 01:41:00 PM","2025/09/13 01:42:29 PM","NW","-114.18385776807","51.08737704688","1","2025-09-13T13:41:0051.08737704687981-114.18385776806515","POINT (-114.18385776806515 51.08737704687981)"
" 8 Street and 13 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/13 12:08:50 AM","2025/09/13 12:21:19 AM","SW","-114.08159130977","51.04099775356","1","2025-09-13T00:08:5051.040997753562756-114.08159130976782","POINT (-114.08159130976782 51.040997753562756)"
" 14 Street at 7 Avenue NW ","There is an incident involving a pedestrian- EMS Dispatched. Blocking multiple lanes in the intersection","2025/09/12 08:40:51 AM","2025/09/12 10:16:22 AM","NW","-114.09472671488","51.05889466501","1","2025-09-12T08:40:5151.05889466501404-114.0947267148804","POINT (-114.0947267148804 51.05889466501404)"
" 10 Street and 7 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/11 06:18:16 PM","2025/09/11 08:48:38 PM","SW","-114.08611513645","51.04753849674","1","2025-09-11T18:18:1651.04753849674181-114.08611513645441","POINT (-114.08611513645441 51.04753849674181)"
" 1 Street and 14 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/11 03:55:08 PM","2025/09/11 05:37:37 PM","SW","-114.06591829079","51.03959616456","1","2025-09-11T15:55:0851.03959616455857-114.0659182907899","POINT (-114.0659182907899 51.03959616455857)"
" Tuscany Boulevard and Tuscany Wy NW ","There is an incident involving a pedestrian- EMS on site.","2025/09/10 05:46:11 PM","2025/09/10 06:30:40 PM","NW","-114.24896048896","51.12429249329","1","2025-09-10T17:46:1151.124292493292884-114.24896048895805","POINT (-114.24896048895805 51.124292493292884)"
" Northbound Home Road and 18 Avenue NW ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2025/09/10 04:02:35 PM","2025/09/10 04:58:47 PM","NW","-114.16439822799","51.07570118954","1","2025-09-10T16:02:3551.07570118953923-114.16439822799184","POINT (-114.16439822799184 51.07570118953923)"
" Acadia Drive and 97 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/10 04:00:29 PM","2025/09/10 04:58:47 PM","SE","-114.04842259406","50.96611347451","1","2025-09-10T16:00:2950.96611347451196-114.04842259405576","POINT (-114.04842259405576 50.96611347451196)"
" 14 Street and 5 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/09 04:41:15 PM","2025/09/09 05:33:11 PM","SW","-114.09470673659","51.04756241609","1","2025-09-09T16:41:1551.04756241608967-114.09470673659325","POINT (-114.09470673659325 51.04756241608967)"
" Walden Gv and Walden Boulevard SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/09 03:39:27 PM","2025/09/09 04:43:58 PM","SE","-114.02988978291","50.86959714295","1","2025-09-09T15:39:2750.86959714295363-114.02988978291394","POINT (-114.02988978291394 50.86959714295363)"
" Taralea Pa and Taralea Gr NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/09 03:29:32 PM","2025/09/09 04:43:58 PM","NE","-113.93995272892","51.11640924839","1","2025-09-09T15:29:3251.11640924839086-113.93995272892273","POINT (-113.93995272892273 51.11640924839086)"
" Westbound 17 Avenue and 52 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/09 02:31:55 PM","2025/09/09 02:33:39 PM","SE","-113.95851517298","51.0379416807","1","2025-09-09T14:31:5551.03794168069977-113.95851517297649","POINT (-113.95851517297649 51.03794168069977)"
" 10 Avenue at 11 Street SW ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the EB lanes and WB left lane","2025/09/09 12:15:45 PM","2025/09/09 12:18:06 PM","SW","-114.08878305939","51.04404542726","1","2025-09-09T12:15:4551.04404542726268-114.08878305938848","POINT (-114.08878305938848 51.04404542726268)"
" 17 Avenue and 45 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the WB right lane","2025/09/09 07:49:22 AM","2025/09/09 07:55:37 AM","SW","-114.15281663747","51.03780284073","1","2025-09-09T07:49:2251.03780284072819-114.15281663747496","POINT (-114.15281663747496 51.03780284072819)"
" 7 Avenue and 5 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/08 07:25:51 PM","2025/09/08 07:32:02 PM","SE","-114.05097571779","51.04614672731","1","2025-09-08T19:25:5151.04614672731417-114.05097571778738","POINT (-114.05097571778738 51.04614672731417)"
" 90 Avenue and Bonaventure Drive SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/08 03:54:35 PM","2025/09/08 05:21:39 PM","SE","-114.06872071763","50.97224965842","1","2025-09-08T15:54:3550.9722496584171-114.06872071762608","POINT (-114.06872071762608 50.9722496584171)"
