INCIDENT INFO,START_DT,QUADRANT,Longitude,Latitude,DESCRIPTION_CLEAN
 51 Street and 32 Avenue SW ,2025-09-19 16:27:58,SW,-114.16096074904,51.02543656008,Pedestrian incident - EMS dispatched
 Charleswood Drive and Cherokee Drive NW ,2025-09-19 07:57:28,NW,-114.12181911764,51.08571316017,Pedestrian incident - EMS on site
 4 Avenue and 68 Street NE ,2025-09-18 17:13:44,NE,-113.93503593583,51.05576688512,Pedestrian incident - EMS on site
 17 Avenue and 10 Street SW ,2025-09-18 16:23:16,SW,-114.08703931045,51.03781307213,Pedestrian incident - EMS on site
 Nose Hill Drive and John Laurie Boulevard NW ,2025-09-16 06:23:19,NW,-114.19489513405,51.1274203655,Pedestrian incident - EMS on site
 Sarcee Road and Richardson Wy SW ,2025-09-15 21:57:37,SW,-114.13882151741,51.01251967473,Pedestrian incident - EMS dispatched
 47 Street and Bowness Road NW ,2025-09-15 16:45:31,NW,-114.1621374623,51.07383862559,Pedestrian incident - EMS dispatched
 Falconridge Boulevard and 64 Avenue NE ,2025-09-15 13:52:48,NE,-113.94734023478,51.11068938193,Pedestrian incident - EMS dispatched
 Eastbound Rundlehorn Drive and 52 Street NE ,2025-09-15 05:33:22,NE,-113.95850399876,51.07167451687,Pedestrian incident - EMS on site
 Southbound Elbow Drive between 69 Avenue and 70 Avenue SW ,2025-09-14 14:46:06,SW,-114.08338976364,50.99096278426,Pedestrian incident - EMS on site
 78 Avenue west of Macleod Trail SW ,2025-09-13 18:12:31,SW,-114.07322833757,50.98321784934,Pedestrian incident - EMS dispatched
 Edmonton Trail and 25 Avenue NE ,2025-09-13 17:35:02,NE,-114.05598595338,51.07515827414,Pedestrian incident - EMS dispatched
 Bowness Road and 65 Street NW ,2025-09-13 13:41:00,NW,-114.18385776807,51.08737704688,Pedestrian incident - EMS dispatched
 8 Street and 13 Avenue SW ,2025-09-13 00:08:50,SW,-114.08159130977,51.04099775356,Pedestrian incident - EMS on site
 14 Street at 7 Avenue NW ,2025-09-12 08:40:51,NW,-114.09472671488,51.05889466501,Pedestrian incident - EMS dispatched
 10 Street and 7 Avenue SW ,2025-09-11 18:18:16,NW,-114.08611513645,51.04753849674,Pedestrian incident - EMS on site
 1 Street and 14 Avenue SW ,2025-09-11 15:55:08,SE,-114.06591829079,51.03959616456,Pedestrian incident - EMS on site
 Tuscany Boulevard and Tuscany Wy NW ,2025-09-10 17:46:11,NW,-114.24896048896,51.12429249329,Pedestrian incident - EMS on site
 Northbound Home Road and 18 Avenue NW ,2025-09-10 16:02:35,NW,-114.16439822799,51.07570118954,Pedestrian incident - EMS on site
 Acadia Drive and 97 Avenue SE ,2025-09-10 16:00:29,SE,-114.04842259406,50.96611347451,Pedestrian incident - EMS on site
 14 Street and 5 Avenue SW ,2025-09-09 16:41:15,NW,-114.09470673659,51.04756241609,Pedestrian incident - EMS on site
 Walden Gv and Walden Boulevard SE ,2025-09-09 15:39:27,SE,-114.02988978291,50.86959714295,Pedestrian incident - EMS on site
 Taralea Pa and Taralea Gr NE ,2025-09-09 15:29:32,NE,-113.93995272892,51.11640924839,Pedestrian incident - EMS on site
 Westbound 17 Avenue and 52 Street SE ,2025-09-09 14:31:55,SE,-113.95851517298,51.0379416807,Pedestrian incident - EMS on site
 10 Avenue at 11 Street SW ,2025-09-09 12:15:45,SW,-114.08878305939,51.04404542726,Pedestrian incident - EMS dispatched
 17 Avenue and 45 Street SW ,2025-09-09 07:49:22,SW,-114.15281663747,51.03780284073,Pedestrian incident - EMS on site
 7 Avenue and 5 Street SE ,2025-09-08 19:25:51,NE,-114.05097571779,51.04614672731,Pedestrian incident - EMS on site
 90 Avenue and Bonaventure Drive SE ,2025-09-08 15:54:35,SE,-114.06872071763,50.97224965842,Pedestrian incident - EMS on site
